1,Madang Airport,Madang,Papua New Guinea,MAG
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM
5,Wewak International Airport,Wewak,Papua New Guinea,WWK
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ
9,Thule Air Base,Thule,Greenland,THU
10,Akureyri Airport,Akureyri,Iceland,AEY
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS
12,Hornafjörður Airport,Hofn,Iceland,HFN
13,Húsavík Airport,Husavik,Iceland,HZK
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ
15,Keflavik International Airport,Keflavik,Iceland,KEF
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ
17,Reykjavik Airport,Reykjavik,Iceland,RKV
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM
21,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV
22,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW
23,St. Anthony Airport,St. Anthony,Canada,YAY
24,Tofino / Long Beach Airport,Tofino,Canada,YAZ
25,Kugaaruk Airport,Pelly Bay,Canada,YBB
26,Baie Comeau Airport,Baie Comeau,Canada,YBC
27,CFB Bagotville,Bagotville,Canada,YBG
28,Baker Lake Airport,Baker Lake,Canada,YBK
29,Campbell River Airport,Campbell River,Canada,YBL
30,Brandon Municipal Airport,Brandon,Canada,YBR
31,Cambridge Bay Airport,Cambridge Bay,Canada,YCB
32,Nanaimo Airport,Nanaimo,Canada,YCD
33,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG
34,Miramichi Airport,Chatham,Canada,YCH
35,Charlo Airport,Charlo,Canada,YCL
36,Kugluktuk Airport,Coppermine,Canada,YCO
37,Coronation Airport,Coronation,Canada,YCT
38,Chilliwack Airport,Chilliwack,Canada,YCW
39,Clyde River Airport,Clyde River,Canada,YCY
40,Coral Harbour Airport,Coral Harbour,Canada,YZS
41,Dawson City Airport,Dawson,Canada,YDA
42,Burwash Airport,Burwash,Canada,YDB
43,Princeton Airport,Princeton,Canada,YDC
